Year,Semester,Course Code,Course Name,Prerequisites
Freshman,Fall,160:159,General Chemistry for Engineers,640:103 or 640:104 or 640:112 or 640:115 or 640:135 or 640:151
Freshman,Fall,160:171,Intro to Experimentation,160:159 or 160:161 or 160:163 or 160:165 or 160:115 or 160:115
Freshman,Fall,355:101,Expository Writing,
Freshman,Fall,440:101,Intro to Data-Driven Design,
Freshman,Fall,640:151,Calculus I,640:113 and 640:114 and 640:112 or 640:113 and 640:114 and 640:115
Freshman,Fall,750:123,Analytical Physics IA,
Freshman,Fall,Humanities Elective,Humanities/Social Science Elective,
Freshman,Spring,160:160,General Chemistry for Engineers,640:112 and 640:115 and 160:159
Freshman,Spring,440:102,Data-Driven Design II,440:101
Freshman,Spring,440:221,Engineering Mechanics (Statics),640:151 and 640:121 and 640:135 and 750:123 or 640:151 and 640:191 and 640:135 and 750:203 or 750:202 and 750:271 and 750:115 and 640:151 or 640:151 and 640:191 and 640:135 and 750:271 or 640:151 and 640:121 and 640:135 and 750:213 or 640:151 and 640:135 and 640:121 and 750:131
Freshman,Spring,640:152,Calculus II,640:135 or 640:151 or 640:135 or 640:155 or 640:121 or 640:135
Freshman,Spring,750:124,Analytical Physics IB,750:115 or 750:123
Sophomore,Fall,125:201,Intro to Biomedical Engineering,750:116 and 750:124 and 750:271 and 640:152 or 750:116 and 750:124 and 750:271 and 640:192 or 640:136 and 640:136 and 640:136 and 750:213 or 640:122 and 640:122 and 640:122 and 750:131
Sophomore,Fall,640:251,Multivariable Calculus,640:152 or 640:192 or 640:136 or 640:156 or 640:122
Sophomore,Fall,750:227,Analytical Physics IIA,750:116 and 750:124 and 750:271 and 640:152
Sophomore,Fall,750:229,Analytical Physics IIA Lab,750:116 or 750:124 or 750:201 or 750:203 or 750:271 or 750:213 or 750:131 or 750:203 or 750:203
Sophomore,Fall,119:115,Biology I,
Sophomore,Fall,Humanities Elective,Humanities/Social Science Elective,
Sophomore,Fall,540:343,Engineering Economics,
Sophomore,Spring,125:255,Biomedical System Physiology,750:116 and 750:124 and 750:271 and 640:152 or 750:116 and 750:124 and 750:271 and 640:192 or 640:136 and 640:136 and 640:136 and 750:213 or 640:122 and 640:122 and 640:122 and 750:131
Sophomore,Spring,640:244,Differential Equations,640:243 or 640:251 or 640:291 or 640:235 or 640:235
Sophomore,Spring,750:228,Analytical Physics IIB,750:204 and 750:204 and 640:152 or 750:227 and 750:227 and 640:152 or 750:272 and 750:272 and 640:152
Sophomore,Spring,750:230,Analytical Physics IIB Lab,750:227 or 750:214 or 750:132 or 750:204 or 750:204 or 750:204
Sophomore,Spring,119:117,Biology Lab,
Junior,Fall,125:303,Biomedical Transport Phenomena,125:201 and 125:255 and 640:244 and 640:292 or 125:201 and 125:255 and 640:244 and 640:244 or 125:201 and 125:255 and 640:244 and 640:314
Junior,Fall,125:305,Numerical Modeling in Biomedical Systems,125:201 and 440:127 and 640:244 and 125:255 or 125:201 and 440:127 and 440:191 and 125:255 or 125:201 and 440:127 and 640:292 and 125:255
Junior,Fall,125:308,Biomechanics,125:201 and 440:221 and 640:251 and 125:255 or 125:201 and 440:221 and 640:291 and 125:255 or 125:201 and 440:291 and 640:251 and 125:255 or 125:201 and 440:291 and 640:291 and 125:255
Junior,Fall,125:309,Biomedical Devices and Systems,125:201 and 640:251 and 750:227 and 125:255 or 125:201 and 640:251 and 750:275 and 125:255 or 125:201 and 640:251 and 750:271 and 125:255 or 125:201 and 640:251 and 750:271 and 125:255 or 125:201 and 640:235 and 750:214 and 125:255 or 125:201 and 640:221 and 750:132 and 125:255
Junior,Fall,125:310,Biomedical Devices & Systems Lab,125:201 and 640:251 and 750:227 and 125:255 or 125:201 and 640:251 and 750:275 and 125:255 or 125:201 and 640:251 and 750:271 and 125:255 or 125:201 and 640:251 and 750:271 and 125:255 or 125:201 and 640:235 and 750:214 and 125:255 or 125:201 and 640:221 and 750:132 and 125:255
Junior,Fall,Technical Elective,Technical Elective,
Junior,Fall,Technical Elective,Technical Elective,
Junior,Spring,125:304,Biomaterials,125:201 and 125:255 and 125:201 and 125:255 or 125:201 and 125:355 and 125:355 and 125:201 or 635:203 and 635:203 and 635:206 and 635:206 or 635:203 and 635:203 and 635:204 and 635:204
Junior,Spring,125:306,Kinetics and Thermodynamics,125:201 and 125:255 and 640:244 and 119:115 or 640:292 and 119:115 and 125:201 and 125:255 or 125:201 and 125:255 and 640:244 and 119:117 or 640:292 and 119:117 and 125:201 and 125:255 or 125:201 and 125:355 and 640:244 and 119:115 or 125:201 and 125:355 and 640:244 and 119:117
Junior,Spring,125:315,BME Measurement & Analysis Lab,125:201 or 125:255 and 125:309 and 125:310
Junior,Spring,Life Science Elective,Life Science Elective,
Senior,Fall,125:401,Senior Design I,125:305 and 125:303 and 125:306 and 125:315 or 125:304 and 125:305 and 125:306 and 125:315 or 125:309 and 125:310 and 125:308 and 125:315 or 125:308 and 125:304 and 125:306 and 125:305
Senior,Fall,125:421,Senior Design Projects I,125:208 and 125:303 and 125:306 and 125:315 or 125:308 and 125:303 and 125:306 and 125:315
Senior,Fall,Departmental Elective,Departmental Elective,
Senior,Fall,Departmental Elective,Departmental Elective,
Senior,Fall,Technical Elective,Technical Elective,
Senior,Spring,125:402,Senior Design II,125:401
Senior,Spring,125:422,Senior Design Projects II,125:208 and 125:303 and 125:306 and 125:315 or 125:308 and 125:303 and 125:306 and 125:315
Senior,Spring,Departmental Elective,Departmental Elective,
Senior,Spring,Technical Elective,Technical Elective,
