Year,Semester,Course Code,Course Name,Prerequisites
Freshman,Fall,160:159,General Chemistry for Engineers,640:103 or 640:104 or 640:112 or 640:115 or 640:135 or 640:151
Freshman,Fall,160:171,Intro to Experimentation,160:159 or 160:161 or 160:163 or 160:165 or 160:115 or 160:115
Freshman,Fall,355:101,Expository Writing,
Freshman,Fall,440:100,Engineering Orientation,
Freshman,Fall,640:151,Calculus I,640:113 and 640:114 and 640:112 or 640:113 and 640:114 and 640:115
Freshman,Fall,750:123,Analytical Physics IA,
Freshman,Fall,Humanities Elective,Humanities/Social Science Elective,
Freshman,Spring,160:160,General Chemistry for Engineers,640:112 and 640:115 and 160:159
Freshman,Spring,440:127,Intro to Computers for Engineers,
Freshman,Spring,440:221,Engineering Mechanics (Statics),640:151 and 640:121 and 640:135 and 750:123 or 640:151 and 640:191 and 640:135 and 750:203 or 750:202 and 750:271 and 750:115 and 640:151 or 640:151 and 640:191 and 640:135 and 750:271 or 640:151 and 640:121 and 640:135 and 750:213 or 640:151 and 640:135 and 640:121 and 750:131
Freshman,Spring,640:152,Calculus II,640:135 or 640:151 or 640:135 or 640:155 or 640:121 or 640:135
Freshman,Spring,750:124,Analytical Physics IB,750:115 or 750:123
Sophomore,Fall,355:302,Scientific & Technical Writing,
Sophomore,Fall,640:244,Differential Equations,640:243 or 640:251 or 640:291 or 640:235 or 640:235
Sophomore,Fall,640:251,Multivariable Calculus,640:152 or 640:192 or 640:136 or 640:156 or 640:122
Sophomore,Fall,750:227,Analytical Physics IIA,750:116 and 750:124 and 750:271 and 640:152
Sophomore,Fall,750:229,Analytical Physics IIA Lab,750:116 or 750:124 or 750:201 or 750:203 or 750:271 or 750:213 or 750:131 or 750:203 or 750:203
Sophomore,Fall,440:222,Engineering Mechanics (Dynamics),640:152 and 640:154 and 640:192 and 440:221 or 640:152 and 640:154 and 640:192 and 440:291 or 640:152 and 640:122 and 640:136 and 440:221 or 640:152 and 640:122 and 640:136 and 440:291
Sophomore,Fall,Humanities Elective 200+,Humanities/Social Science Elective (200+),
Sophomore,Spring,960:379,Basic Probability & Statistics,
Sophomore,Spring,180:216,Intro CADD,
Sophomore,Spring,180:243,Mechanics of Solids,440:221 and 440:291 and 640:152 or 440:221 and 440:291 and 640:291 or 440:221 and 440:291 and 640:235 or 440:221 and 440:291 and 640:221
Sophomore,Spring,Humanities Elective 200+,Humanities/Social Science Elective (200+),
Sophomore,Spring,Science Elective,Science Elective,
Junior,Fall,180:320,Elementary Structural Design,180:243 or 180:318
Junior,Fall,180:305,Construction Engineering,440:221 or 440:291
Junior,Fall,180:318,Elements of Structures,180:243 and 750:291 and 640:251 or 180:243 and 750:291 and 640:291 or 180:243 and 750:291 and 640:235 or 180:243 and 750:291 and 640:221
Junior,Fall,180:387,Fluid Mechanics,440:222 and 750:254 and 440:292 and 640:244 or 440:222 and 750:254 and 440:292 and 640:314 or 440:222 and 750:254 and 440:292 and 640:314
Junior,Fall,180:389,Fluid Mechanics Lab,
Junior,Fall,635:407,Mechanical Properties of Materials,440:221 or 440:291
Junior,Fall,540:343,Engineering Economics,
Junior,Spring,180:411,Reinforced Concrete,180:320 or 180:318
Junior,Spring,180:421,Reinforced Concrete Lab,
Junior,Spring,180:429,Water & Wastewater Engineering,180:387 or 180:389
Junior,Spring,180:430,Transportation Planning,960:379 and 960:401 and 180:364
Senior,Fall,180:473,Foundation Engineering,180:372 or 180:374
Senior,Fall,180:482,Professional Issues in Civil Engineering,
Senior,Fall,Civil Design Elective,Civil Design Elective (Capstone),
Senior,Fall,Tech or Dept Elective,Technical or Departmental Elective,
Senior,Fall,Tech Elective,Technical Elective,
Senior,Spring,General Elective,General Elective,
Senior,Spring,Tech or Dept Elective,Technical or Departmental Elective,
Senior,Spring,Capstone Design,Capstone Design Course,
Senior,Spring,Science Elective,Science Elective,
